Contig	Organism	Chromosome	Gene	Start	End	Direction
NT_086925	Homo sapiens	"X"	9624	10037	LOC728880	coding
NT_078115	Homo sapiens	"X"	25589	27891	CXYorf11	coding
NT_078115	Homo sapiens	"X"	48170	75199	PLCXD1	coding
NT_078115	Homo sapiens	"X"	76605	86066	GTPBP6	complement
NT_028413	Homo sapiens	"X"	13586	66243	PPP2R3B	complement
NT_028413	Homo sapiens	"X"	298285	298716	LOC728949	coding
NT_028413	Homo sapiens	"X"	303695	338762	SHOX	coding
NT_028413	Homo sapiens	"X"	659955	660791	LOC728993	complement
NT_028413	Homo sapiens	"X"	682140	689452	LOC442442	complement
NT_011651	Homo sapiens	"X"	5956	8321	FGF16	coding
NT_011651	Homo sapiens	"X"	57499	338010	ATRX	complement
NT_011651	Homo sapiens	"X"	378169	447235	DKFZp564K142	complement
NT_011651	Homo sapiens	"X"	451269	457189	COX7B	coding
NT_011651	Homo sapiens	"X"	462507	601747	ATP7A	coding
NT_011651	Homo sapiens	"X"	481929	514651	LOC642277	coding
NT_011651	Homo sapiens	"X"	519766	521443	PGAM4	complement
NT_011651	Homo sapiens	"X"	656077	678632	PGK1	coding
NT_011651	Homo sapiens	"X"	681553	691487	TAF9B	complement
NT_011651	Homo sapiens	"X"	752540	755385	LOC727814	coding
NT_011651	Homo sapiens	"X"	824438	879395	CYSLTR1	complement
NT_011651	Homo sapiens	"X"	1207874	1211133	ZCCHC5	complement
NT_011651	Homo sapiens	"X"	1306609	1308901	GPR23	coding
NT_011651	Homo sapiens	"X"	1497137	1513746	P2RY10	coding
NT_011651	Homo sapiens	"X"	1636876	1637100	LOC449518	coding
NT_011651	Homo sapiens	"X"	1722777	1724034	GPR174	coding
NT_011651	Homo sapiens	"X"	1817277	1876618	LOC347363	coding
NT_011651	Homo sapiens	"X"	1912189	1919355	ITM2A	complement
NT_011651	Homo sapiens	"X"	2574050	2583576	TBX22	coding
NT_011651	Homo sapiens	"X"	2972273	2997118	FAM46D	coding
NT_011651	Homo sapiens	"X"	3112355	3112921	LOC727874	coding
NT_011651	Homo sapiens	"X"	3113583	3113864	LOC347364	coding
NT_011651	Homo sapiens	"X"	3123678	3126414	LOC642546	complement
NT_011651	Homo sapiens	"X"	3228003	3361541	BRWD3	complement
NT_011651	Homo sapiens	"X"	3481242	3483021	LOC642585	coding
NT_011651	Homo sapiens	"X"	3665508	3673424	NSBP1	complement
NT_011651	Homo sapiens	"X"	3753930	3850354	SH3BGRL	coding
NT_011651	Homo sapiens	"X"	5426939	5427290	LOC266683	coding
NT_011651	Homo sapiens	"X"	6059609	6061083	POU3F4	coding
NT_011651	Homo sapiens	"X"	6300125	6324544	LOC648283	complement
NT_011651	Homo sapiens	"X"	6412462	6550769	CYLC1	coding
NT_011651	Homo sapiens	"X"	6615292	6750684	RPS6KA6	complement
NT_011651	Homo sapiens	"X"	6872517	7053766	CXorf43	complement
NT_011651	Homo sapiens	"X"	7306314	7307793	LOC642869	coding
NT_011651	Homo sapiens	"X"	7311426	7311905	LOC642874	coding
NT_011651	Homo sapiens	"X"	7555213	7639082	FAM121A	coding
NT_011651	Homo sapiens	"X"	7643608	7659754	SATL1	complement
NT_011651	Homo sapiens	"X"	7795346	7824676	ZNF711	coding
NT_011651	Homo sapiens	"X"	7828710	7931056	POF1B	complement
NT_011651	Homo sapiens	"X"	8412493	8598874	CHM	complement
NT_011651	Homo sapiens	"X"	8636021	8637652	LOC441505	complement
NT_011651	Homo sapiens	"X"	8699933	9383898	DACH2	coding
NT_011651	Homo sapiens	"X"	9349912	9350537	bA345E19.2	complement
NT_011651	Homo sapiens	"X"	10069117	10221358	KLHL4	coding
NT_011651	Homo sapiens	"X"	10254581	10255621	RPSAP15	complement
NT_011651	Homo sapiens	"X"	10360590	10361046	MRPS22P1	complement
NT_011651	Homo sapiens	"X"	10647700	10648554	CAPZA1P	complement
NT_011651	Homo sapiens	"X"	11298564	11306088	CPXCR1	coding
NT_011651	Homo sapiens	"X"	12473248	12474190	TGIF2LX	coding
NT_011651	Homo sapiens	"X"	12663794	12666036	USP12P2	coding
NT_011651	Homo sapiens	"X"	13985905	13989891	PABPC5	coding
